LEVEL,Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2018-2019 Pass Rate,2019-2020 Pass Rate,2020-2021 Pass Rate,2018-2019 Adv Pass Rate,2019-2020 Adv Pass Rate,2020-2021 Adv Pass Rate,address,latitude,longitude,geoid
SCH,10.0,Bedford County,1213.0,Thomas Jefferson Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,78,,79,19,,13,Thomas Jefferson Elementary Bedford County,37.3565403,-79.2883564,5100330
SCH,11.0,Bland County,250.0,Bland County Elementary,Elem,PK,6.0,English: Reading,Gr 3,English Reading,81,,80,21,,5,Bland County Elementary Bland County,37.1032529,-81.1143357,5100330
SCH,12.0,Botetourt County,220.0,Breckinridge Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,77,,83,6,,13,Breckinridge Elementary Botetourt County,37.5024255,-79.8731777,5100360
SCH,12.0,Botetourt County,20.0,Buchanan Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,80,,77,11,,6,Buchanan Elementary Botetourt County,37.5122528,-79.7041015,5100360
SCH,12.0,Botetourt County,390.0,Cloverdale Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,91,,88,27,,33,Cloverdale Elementary Botetourt County,37.3627314,-79.9007285,5100360
SCH,12.0,Botetourt County,400.0,Colonial Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,83,,78,34,,7,Colonial Elementary Botetourt County,37.3577071,-79.8166298,5100360
SCH,12.0,Botetourt County,30.0,Eagle Rock Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,85,,67,15,,17,Eagle Rock Elementary Botetourt County,37.6567541,-79.8110738,5100360
SCH,12.0,Botetourt County,460.0,Greenfield Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,80,,75,23,,10,Greenfield Elementary Botetourt County,37.4290237,-79.9287109,5100360
SCH,12.0,Botetourt County,40.0,Troutville Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,76,,68,17,,11,Troutville Elementary Botetourt County,37.4414068,-79.847834,5100360
SCH,102.0,Bristol City,60.0,Highland View Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,56,,46,5,,0,Highland View Elementary Bristol City,36.6070348,-82.1640849,5100360
SCH,102.0,Bristol City,100.0,Joseph Van Pelt Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,77,,66,11,,10,Joseph Van Pelt Elementary Bristol City,36.6221804,-82.1391455,5100360
SCH,102.0,Bristol City,70.0,Stonewall Jackson Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,78,,59,14,,7,Stonewall Jackson Elementary Bristol City,36.597467,-82.2072386,5100360
SCH,102.0,Bristol City,90.0,Washington-Lee Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,94,,45,6,,0,Washington-Lee Elementary Bristol City,36.6109123,-82.1781045,5100360
SCH,13.0,Brunswick County,690.0,Meherrin Powellton Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,53,,53,9,,0,Meherrin Powellton Elementary Brunswick County,36.6689624,-77.7973271,5100390
SCH,13.0,Brunswick County,700.0,Red Oak-Sturgeon Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,32,,39,8,,7,Red Oak-Sturgeon Elementary Brunswick County,36.9067159,-77.8787081,5100420
SCH,13.0,Brunswick County,720.0,Totaro Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,47,,34,4,,5,Totaro Elementary Brunswick County,36.778717,-77.8716201,5100420
SCH,14.0,Buchanan County,90.0,Council Elementary/Middle,Elem,PK,7.0,English: Reading,Gr 3,English Reading,44,,75,6,,0,Council Elementary/Middle Buchanan County,37.0831551,-82.0821572,5100420
SCH,14.0,Buchanan County,120.0,Hurley Elementary/Middle,Elem,PK,7.0,English: Reading,Gr 3,English Reading,74,,56,12,,4,Hurley Elementary/Middle Buchanan County,37.384781,-82.000628,5100420
SCH,14.0,Buchanan County,1040.0,Riverview Elementary/Middle,Combined,PK,8.0,English: Reading,Gr 3,English Reading,61,,64,9,,3,Riverview Elementary/Middle Buchanan County,37.3088495,-82.1459733,5100420
SCH,14.0,Buchanan County,1041.0,Twin Valley Elementary/Middle,Elem,PK,7.0,English: Reading,Gr 3,English Reading,70,,72,13,,0,Twin Valley Elementary/Middle Buchanan County,37.2042551,-81.9745936,5100420
SCH,15.0,Buckingham County,724.0,Buckingham Co Elementary,Elem,3,5.0,English: Reading,Gr 3,English Reading,55,,42,8,,4,Buckingham Co Elementary Buckingham County,37.552965,-78.4837911,5100420
SCH,103.0,Buena Vista City,40.0,Enderly Heights Elementary,Elem,3,5.0,English: Reading,Gr 3,English Reading,64,,58,15,,3,Enderly Heights Elementary Buena Vista City,37.7141842,-79.3647657,5100450
SCH,16.0,Campbell County,560.0,Altavista Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,78,,63,20,,9,Altavista Elementary Campbell County,37.132267,-79.28312,5100450
SCH,16.0,Campbell County,650.0,Brookneal Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,76,,52,20,,9,Brookneal Elementary Campbell County,37.0521182,-78.9445011,5100450
SCH,16.0,Campbell County,130.0,Concord Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,66,,63,11,,6,Concord Elementary Campbell County,37.3359462,-78.9785228,5100450
SCH,16.0,Campbell County,690.0,Leesville Road Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,80,,73,21,,13,Leesville Road Elementary Campbell County,37.3277033,-79.2186685,5100480
SCH,16.0,Campbell County,821.0,Rustburg Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,65,,55,21,,9,Rustburg Elementary Campbell County,37.2687722,-79.1078654,5100480
SCH,16.0,Campbell County,60.0,Tomahawk Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,82,,62,20,,7,Tomahawk Elementary Campbell County,37.3440651,-79.2374496,5100480
SCH,16.0,Campbell County,710.0,Yellow Branch Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,66,,66,24,,10,Yellow Branch Elementary Campbell County,37.2524783,-79.1850191,5100510
SCH,17.0,Caroline County,620.0,Bowling Green Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,53,,38,11,,0,Bowling Green Elementary Caroline County,38.0236048,-77.3421282,5100510
SCH,17.0,Caroline County,9020.0,Lewis and Clark Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,76,,68,20,,9,Lewis and Clark Elementary Caroline County,38.0196166,-77.5314769,5100510
SCH,17.0,Caroline County,630.0,Madison Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,73,,37,22,,1,Madison Elementary Caroline County,38.0266189,-77.4902162,5100510
SCH,18.0,Carroll County,1180.0,Fancy Gap Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,95,,89,14,,5,Fancy Gap Elementary Carroll County,36.6899795,-80.6977233,5100510
SCH,18.0,Carroll County,1150.0,Gladesboro Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,69,,69,23,,0,Gladesboro Elementary Carroll County,36.687341,-80.6100959,5100540
SCH,18.0,Carroll County,1210.0,Gladeville Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,71,,71,5,,5,Gladeville Elementary Carroll County,36.6995177,-80.8783634,5100540
SCH,18.0,Carroll County,1170.0,Hillsville Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,76,,70,15,,9,Hillsville Elementary Carroll County,36.7678031,-80.734865,5100560
SCH,18.0,Carroll County,1160.0,Laurel Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,69,,78,15,,9,Laurel Elementary Carroll County,36.7972293,-80.8519905,5100560
SCH,18.0,Carroll County,1130.0,Oakland Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,79,,43,21,,9,Oakland Elementary Carroll County,36.6429023,-80.8379592,5100600
